Papel,Empresa,Setor,Cotação,P/L,EV/EBITDA,P/VP,ROE,Div.Yield,Cresc. Rec.5a,Dív.Brut/ Patrim.,Patrim. Líq
LJQQ3,QUERO-QUERO,Comércio,4.77,-24.2,5.06,1.77,-7.33,3.54,9.36,0.73,503826000.0
PTBL3,PORTOBELLO S/A,Construção e Engenharia,5.85,-20.48,6.55,2.16,-10.54,3.59,21.51,3.12,382221000.0
TELB3,TELEBRAS,Telecomunicações,15.19,-19.32,-2.89,0.83,-4.28,0.0,58.75,0.07,1586870000.0
ANIM3,ANIMA,Diversos,4.46,-19.31,4.98,0.71,-3.66,0.0,38.61,1.98,2551290000.0
AMBP3,AMBIPAR,Água e Saneamento,14.18,-18.66,5.1,2.39,-12.82,0.64,79.72,7.15,989635000.0
MYPK3,IOCHPE-MAXION,Automóveis e Motocicletas,12.25,-18.3,4.91,0.49,-2.68,2.46,16.94,1.79,3834280000.0
ORVR3,ORIZON,Água e Saneamento,33.08,-17.95,13.42,4.44,-24.76,0.0,40.55,1.85,617519000.0
ESPA3,ESPACOLASER,Comércio,0.98,-17.56,5.33,0.4,-2.3,0.0,14.84,1.04,877564000.0
SYNE3,SYN PROP TEC,Exploração de Imóveis,4.49,-17.47,6.45,0.45,-2.6,0.0,15.16,0.67,1510730000.0
MRVE3,MRV,Construção Civil,7.3,-17.33,30.8,0.6,-3.45,0.0,3.85,1.12,6862600000.0
OPCT3,OCEANPACT,"Petróleo, Gás e Biocombustíveis",5.43,-16.17,4.54,1.37,-8.45,0.0,52.49,1.56,794548000.0
RCSL3,RECRUSUL,Material de Transporte,1.74,-16.02,-316.79,1909.34,-11920.7,0.0,41.9,0.0,116000.0
CASH3,MELIUZ,Programas e Serviços,7.05,-15.71,-3.44,0.78,-4.98,0.0,28.2,0.0,780734000.0
GUAR3,GUARARAPES CONFECÇÕES,Comércio,5.02,-15.49,5.09,0.5,-3.24,0.0,5.42,0.75,4986780000.0
COGN3,COGNA,Diversos,2.42,-15.19,5.43,0.38,-2.47,0.0,-6.35,0.61,12083300000.0
QUAL3,QUALICORP,Serv.Méd.Hospit. Análises e Diagnósticos,2.14,-15.17,2.17,0.46,-3.02,3.7,-1.88,1.76,1326160000.0
FRIO3,Metalfrio,Máquinas e Equipamentos,330.0,-13.09,18.7,-3.08,23.53,0.0,10.06,-3.48,-439858000.0
NORD3,NORDON INDS METALURGICAS SA,Máquinas e Equipamentos,11.77,-10.38,-309.8,-0.5,4.8,0.0,13.25,-0.24,-156430000.0
ZAMP3,ZAMP S.A.,Hoteis e Restaurantes,4.08,-9.76,3.58,0.84,-8.65,0.0,11.28,0.87,1331470000.0
ALPK3,ESTAPAR,Serviços Diversos,4.5,-9.02,4.35,2.57,-28.46,0.0,30.83,3.78,380467000.0
AERI3,AERIS,Máquinas e Equipamentos,0.76,-8.63,5.66,1.16,-13.42,0.0,10.41,2.17,815079000.0
BIOM3,BIOMM SA,Medicamentos e Outros Produtos,5.36,-7.96,-11.18,6.87,-86.26,0.0,108.78,1.58,99012000.0
ENJU3,ENJOEI,Programas e Serviços,1.55,-7.13,-0.88,0.89,-12.45,0.0,25.24,0.0,353986000.0
BRFS3,BRF Foods,Alimentos Processados,14.29,-6.51,11.01,1.7,-26.15,0.0,17.07,1.58,14121800000.0
CBAV3,CBA,Mineração,3.88,-6.48,22.32,0.53,-8.14,8.16,-20.29,0.93,4784200000.0
DASA3,DIAGNOSTICOS DA AMERICA SA,Serv.Méd.Hospit. Análises e Diagnósticos,7.25,-6.47,6.4,0.69,-10.61,0.0,37.37,1.43,7944720000.0
AZEV3,AZEVEDO & TRAVASSOS,Construção e Engenharia,1.53,-6.1,-5.88,1.83,-30.05,0.0,454.92,0.31,140013000.0
BLUT3,B TECH EQI,Outros,5.14,-5.63,-53.97,0.46,-8.24,0.0,0.0,0.12,56569000.0
TEND3,Tenda,Construção Civil,10.54,-5.61,11.65,1.45,-25.84,0.0,9.13,1.41,895290000.0
SEER3,SER EDUCA,Diversos,5.6,-4.53,2.89,0.6,-13.22,0.0,10.2,0.59,1203790000.0
CEED3,CEEE-D,Energia Elétrica,22.9,-3.97,6.24,-0.53,13.27,0.0,11.62,-1.38,-2965540000.0
AALR3,ALLIAR,Serv.Méd.Hospit. Análises e Diagnósticos,8.68,-3.9,12.9,1.01,-25.92,0.0,3.54,1.04,1015110000.0
MRFG3,Marfrig,Alimentos Processados,9.05,-3.9,5.34,1.38,-35.29,0.0,32.66,9.09,6129530000.0
ALPA3,ALPARGATAS,"Tecidos, Vestuário e Calçados",9.59,-3.51,27.76,1.76,-50.09,0.0,2.32,0.4,3726780000.0
AZUL4,AZUL,Transporte,12.2,-3.48,5.97,-0.2,5.74,0.0,19.69,-1.25,-21286100000.0
CVCB3,CVC BRASIL,Viagens e Lazer,3.15,-3.46,10.01,3.79,-109.8,0.0,-4.33,1.73,436424000.0
BRKM3,BRASKEM,Químicos,19.8,-3.35,17.9,3.14,-93.87,0.0,13.67,8.47,5022600000.0
IFCM3,INFRACOMM,Programas e Serviços,1.34,-3.33,11.54,0.63,-18.75,0.0,34.07,0.56,1366400000.0
KRSA3,KORA SAUDE,Serv.Méd.Hospit. Análises e Diagnósticos,0.91,-3.32,6.94,0.69,-20.93,0.0,16.13,2.4,1013980000.0
MBLY3,MOBLY,Programas e Serviços,2.18,-2.87,-21.2,0.47,-16.44,0.0,-10.26,0.37,491793000.0
TPIS3,TRIUNFO PARTICIPACOES SA,Transporte,3.75,-2.65,18.46,0.19,-7.27,4.9,0.95,1.82,858180000.0
MWET4,WETZEL S.A.,Material de Transporte,5.62,-2.42,-45.4,-1.11,46.11,0.0,16.73,-7.44,-10384000.0
BAHI3,BAHEMA,Diversos,6.79,-2.21,71.56,4.16,-188.32,0.0,63.05,4.38,43092000.0
WEST3,WESTWING,Programas e Serviços,1.22,-2.19,-0.2,0.5,-22.68,0.0,-16.69,0.07,272425000.0
MLAS3,MULTILASER,Computadores e Equipamentos,1.91,-2.19,-2.44,0.44,-20.23,0.0,-7.77,0.26,3542230000.0
AVLL3,ALPHAVILLE,Construção Civil,5.1,-2.18,87.3,-1.57,71.88,0.0,15.55,-1.81,-636418000.0
GFSA3,GAFISA,Construção Civil,6.0,-1.91,-23.98,0.25,-12.88,0.0,31.32,1.16,1687910000.0
CTSA3,SANTANENSE,"Tecidos, Vestuário e Calçados",3.24,-1.83,-5.59,0.39,-21.36,0.0,-24.78,0.91,230512000.0
TRAD3,TC,Programas e Serviços,0.74,-1.81,-1.79,0.43,-24.05,0.0,-40.7,0.0,477113000.0
GSHP3,Generalshopp,Exploração de Imóveis,14.0,-1.6,37.81,-0.03,2.01,0.0,4.39,-2.21,-840571000.0
TXRX3,RENAUX,"Tecidos, Vestuário e Calçados",9.29,-1.32,71.51,-0.11,8.34,0.0,16.24,-0.83,-359822000.0
AGXY3,AGROGALAXY,Agropecuária,1.84,-1.25,2.29,0.31,-24.61,2.16,34.89,1.73,1024290000.0
DOTZ3,DOTZ SA,Diversos,7.38,-1.17,-6.7,-0.44,37.49,0.0,3.03,-0.47,-222238000.0
VIVR3,VIVER,Construção Civil,3.88,-1.03,-3.47,5.31,-514.44,0.0,2.88,0.97,19987000.0
ESTR3,ESTRELA,Viagens e Lazer,8.0,-0.95,-79.34,-0.12,12.38,0.0,9.53,-0.15,-549899000.0
JFEN3,JOÃO FORTES ENGENHARIA S.A.,Construção Civil,1.82,-0.87,-8.76,-0.06,6.43,0.0,24.41,-0.89,-683911000.0
GPIV33,"GP INVESTMENTS, LTD",Serviços Financeiros Diversos,2.8,-0.86,-0.33,0.47,-54.77,0.0,123.96,0.89,960398000.0
FHER3,Fer Heringer,Químicos,5.96,-0.8,-0.83,8.23,-1033.75,0.0,49.83,0.05,38987000.0
CTNM3,COTEMINAS,"Tecidos, Vestuário e Calçados",9.65,-0.62,-4.69,1.23,-197.2,0.0,-4.2,5.43,240294000.0
FRTA3,POMIFRUTAS,Agropecuária,1.49,-0.54,-21.59,-0.04,7.67,0.0,-4.37,-0.88,-74222000.0
INEP3,INEPAR S/A,Máquinas e Equipamentos,3.81,-0.46,-19.06,-0.09,20.32,0.0,-8.47,-0.5,-1806160000.0
BHIA3,CASAS BAHIA,Comércio,8.36,-0.44,3.02,0.18,-40.32,0.0,4.63,1.95,4434000000.0
LIGT3,LIGHT SA,Energia Elétrica,5.5,-0.39,-16.7,0.67,-173.47,0.0,2.32,3.46,3048560000.0
SEQL3,SEQUOIA LOG,Serviços Diversos,0.49,-0.37,-5.65,1.5,-404.55,0.0,-14.83,7.77,126809000.0
PCAR3,PÃO DE AÇÚCAR,Comércio e Distribuição,3.9,-0.34,14.95,0.21,-61.2,0.0,-60.47,1.21,5016000000.0
AMAR3,LOJAS MARISA,Comércio,2.72,-0.26,10.04,1.73,-673.21,0.0,-2.34,12.27,107804000.0
RPMG3,REFINARIA DE PETRÓLEOS DE MANGUINHOS S.A,"Petróleo, Gás e Biocombustíveis",2.07,-0.17,-0.14,-0.03,16.32,0.0,51.32,0.0,-5058390000.0
